Game started at Fri May 21 2021 22:54:58 GMT+0300 (Москва, стандартное время)
Game result: User lost! - Fri May 21 2021 22:55:41 GMT+0300 (Москва, стандартное время)
Game result: User won! - Fri May 21 2021 22:55:41 GMT+0300 (Москва, стандартное время)
Game result: User won! - Fri May 21 2021 22:55:42 GMT+0300 (Москва, стандартное время)
Game result: User lost! - Fri May 21 2021 22:55:42 GMT+0300 (Москва, стандартное время)
Game result: User won! - Fri May 21 2021 22:55:42 GMT+0300 (Москва, стандартное время)
Game result: User won! - Fri May 21 2021 22:55:43 GMT+0300 (Москва, стандартное время)
Game result: User lost! - Fri May 21 2021 22:55:43 GMT+0300 (Москва, стандартное время)
Game result: User won! - Fri May 21 2021 22:55:43 GMT+0300 (Москва, стандартное время)
Game result: User lost! - Fri May 21 2021 22:55:44 GMT+0300 (Москва, стандартное время)
Game finished by User at Fri May 21 2021 22:55:45 GMT+0300 (Москва, стандартное время) 
-----------------------------------------------------------
Game started at Fri May 21 2021 22:55:47 GMT+0300 (Москва, стандартное время)
Game result: User lost! - Fri May 21 2021 22:55:50 GMT+0300 (Москва, стандартное время)
Game result: User lost! - Fri May 21 2021 22:55:50 GMT+0300 (Москва, стандартное время)
Game result: User won! - Fri May 21 2021 22:55:50 GMT+0300 (Москва, стандартное время)
Game result: User won! - Fri May 21 2021 22:55:50 GMT+0300 (Москва, стандартное время)
Game result: User lost! - Fri May 21 2021 22:55:51 GMT+0300 (Москва, стандартное время)
Game result: User lost! - Fri May 21 2021 22:55:51 GMT+0300 (Москва, стандартное время)
Game result: User won! - Fri May 21 2021 22:55:51 GMT+0300 (Москва, стандартное время)
Game result: User won! - Fri May 21 2021 22:55:52 GMT+0300 (Москва, стандартное время)
Game result: User lost! - Fri May 21 2021 22:55:53 GMT+0300 (Москва, стандартное время)
Game finished by User at Fri May 21 2021 22:55:54 GMT+0300 (Москва, стандартное время) 
-----------------------------------------------------------
